,0,1,2,3,4,5,6
0,互联网/AI,后端开发,Java,Java中/高级工程师,广州·番禺区·石楼,寻蜜鸟,"Java,后端开发,系统架构"
1,互联网/AI,后端开发,Java,Java,广州·天河区·东圃,广州市厚通,Java
2,互联网/AI,后端开发,Java,开发工程师-核心平台,广州·天河区·珠江新城,洛邦信息,"Java,高并发"
3,互联网/AI,后端开发,Java,高级java开发工程师（社交产品）,广州·天河区·车陂,聚乐,"音视频经验,Java,团队管理经验,SpringCloud,MySQL,Redis"
4,互联网/AI,后端开发,Java,Java,广州·黄埔区·科学城,壹新网络科技,Java
5,互联网/AI,后端开发,Java,高级软件开发工程师,广州·天河区·五山,中数通,Java
6,互联网/AI,后端开发,Java,软件开发（2022届）,广州·天河区·小新塘,合明软件,"MySQL,Java,SQL,C#,多线程,数据结构,Oracle,数据库开发"
7,互联网/AI,后端开发,Java,Java开发（基金，双休）,广州·海珠区·琶洲,睿服科技,"Java,SpringCloud,Spring,MySQL,Oracle"
8,互联网/AI,后端开发,Java,Java后端工程师,广州·海珠区·琶洲,布枢科技,"SQL,后端开发,Linux,MySQL,Redis,微服务架构,SpringBoot"
9,互联网/AI,后端开发,Java,Java初级开发工程师,广州·海珠区·赤岗,米袋软件,"Java,JS"
10,互联网/AI,后端开发,Java,高级java开发工程师,广州·天河区·东圃,广州飞乐网络科技,"Java,C++,Zookeeper,Spring,MySQL,游戏后端经验"
11,互联网/AI,后端开发,Java,Java高级开发工程师,广州·天河区·天河公园,吉仕移动,"Java,C/C++,C#"
12,互联网/AI,后端开发,Java,Java开发主管,广州,精明购,"Java开发经验,Java,项目经理,团队管理经验,中大型项目架构设计经验,MySQL,架构师,Redis,小程序,后端工程师,高级软件工程师,技术经理"
13,互联网/AI,后端开发,Java,Java技术经理,广州·天河区·龙洞,支点网络,"微服务架构,负载均衡技术,分布式技术,多线程,架构师,Spring"
14,互联网/AI,后端开发,Java,JAVA后端开发工程师,广州·番禺区·市桥,杰城商务,"分布式技术,多线程,数据结构,负载均衡技术,Spring,Redis,后端开发"
15,互联网/AI,后端开发,Java,Java后端开发工程师,广州·黄埔区·科学城,柠檬火互联网,"分布式技术,微服务架构,Socket技术,消息队列,SQL,Spring,Hibernate,MySQL"
16,互联网/AI,后端开发,Java,Java工程师,广州·黄埔区·中心城,广州美美医疗,"Java,后端开发,数据库"
17,互联网/AI,后端开发,Java,java开发工程师-银行项目-线上面试,广州·天河区·石牌,软通动力,"Java,MyBatis,Oracle,MySQL,分布式经验,英语六级"
18,互联网/AI,后端开发,Java,Java中级开发工程师,广州·天河区·东圃,科坦电子技术有限公司,"Shell,MVC开发,服务器配置,容器技术,Socket技术,分布式技术,网络协议,消息队列"
19,互联网/AI,后端开发,Java,Java,广州·天河区·珠江新城,昊鹰信息,"企业级应用开发,全栈开发,高级软件工程师,Oracle,客户端开发"
20,互联网/AI,后端开发,Java,中级java开发工程师,广州·天河区·五山,广东科瑞,"Java,Spring,Nginx,MySQL,Redis"
21,互联网/AI,后端开发,Java,初级/高级系统开发工程师,广州·海珠区·琶洲,唯品会,"JVM,大数据经验,Java,分布式经验,Elasticsearch,MySQL,Redis,MyBatis,架构设计经验,Spark,Python"
22,互联网/AI,后端开发,Java,JAVA开发工程师,广州·天河区·珠江新城,芙艾医美,"Java,NoSQL,服务器配置,SpringCloud,MySQL,分布式技术,Redis,软件工程师,SpringBoot,后端工程师"
23,互联网/AI,后端开发,Java,后端工程师,广州·番禺区·市桥,智嵌物联,"分布式技术,微服务架构,消息队列,SpringCloud,服务器端开发,Linux,架构师,计算机软件"
24,互联网/AI,后端开发,Java,高级java软件工程师,广州·天河区·珠江新城,越创智数信息科技,"Java,Spring,SpringCloud,MySQL"
25,互联网/AI,后端开发,Java,高级java工程师(物流),广州·番禺区·南村,SHEIN,"Java,Spring,MySQL,大数据经验,B端"
26,互联网/AI,后端开发,Java,高级Java开发工程师,广州·天河区·长兴,蓝粤,"服务器配置,Spring,SpringMVC,Struts,架构师,MySQL,客户端开发,Eclipse"
27,互联网/AI,后端开发,Java,java开发工程师,广州·海珠区·琶洲,中文数字技术(广州),"Java,Docker,Redis"
28,互联网/AI,后端开发,Java,java开发工程师（初/中级）,广州·黄埔区·大沙,致讯科技,"Java,MyBatis,Spring,SpringCloud,MySQL,Oracle,SQL Server,不接受居家办公,大数据经验"
29,互联网/AI,后端开发,Java,Java开发工程师,广州·黄埔区·科学城,远石科技,"计算机/软件工程相关经验,Java开发经验,中大型项目架构设计经验,MySQL,Redis,MongoDB,SpringBoot,Spring"
30,互联网/AI,后端开发,C/C++,C＋＋开发工程师,广州·番禺区·东环,百世诚科技,"C++服务端开发经验,Java,C++,C语言,游戏,Linux开发/部署经验,大数据项目开发经验"
31,互联网/AI,后端开发,C/C++,C++/QT软件工程师,广州·黄埔区·中心城,纳境鼎新粒子,"数据结构,多线程,多进程,Linux,SVN,驱动开发"
32,互联网/AI,后端开发,C/C++,C/C++软件开发工程师,广州·白云区·罗冲围,华为,C++
33,互联网/AI,后端开发,C/C++,微信-后台开发工程师/分布式架构（广州）,广州·海珠区·赤岗,腾讯,"C++,Golang,C++服务端开发经验"
34,互联网/AI,后端开发,C/C++,C/C++,广州·荔湾区·陈家祠,广州荔湾榄橄绿宝...,"C++,C语言,Golang,计算机相关专业,C++服务端开发经验,Linux开发/部署经验"
35,互联网/AI,后端开发,C/C++,C,广州·黄埔区·开发区东区,荣驰智能,"嵌入式技术,网络协议,软件工程师,单片机开发,后端开发,管理系统"
36,互联网/AI,后端开发,C/C++,服务端主程,广州·海珠区·琶洲,京游,"C语言,C++,C++服务端开发经验"
37,互联网/AI,后端开发,C/C++,软件开发工程师,广州·黄埔区·九佛,医觅吉,"C++,QT,C,数据库开发经验,MySQL,OpenGL,Linux开发/部署经验,图形开发经验,Python"
38,互联网/AI,后端开发,C/C++,Linux应用工程师（手机互联方向）,广州·黄埔区·科学城,六环信息科技,"AA,音视频经验,C++,Linux,嵌入式软件经验,手机互联,ITU,Linux开发/部署经验,CarPlay,蓝牙,认证,数据结构"
39,互联网/AI,后端开发,C/C++,C++量化开发工程师,广州·番禺区·市桥,广州经传,"C++,C++服务端开发经验,Linux开发/部署经验"
40,互联网/AI,后端开发,C/C++,C＋＋开发工程师,广州·南沙区·南沙区府,宸境,"后端开发,软件工程师"
41,互联网/AI,后端开发,C/C++,软件工程师（C#/C++方向）,广州·天河区·龙口,爱享科技,"C/C++,C#"
42,互联网/AI,后端开发,C/C++,c++中级开发工程师,广州·黄埔区·科学城,广州源典科技有限公司,"C++,计算机相关专业,Linux开发/部署经验"
